i,ciphertext_hex,elapsed_us
40,0x1688aff60b6191cfc1cc2c5d414d19a3d224a4910d263c75878c56a15da56ba9ce640ae3fd84c625b079cad0fb951de1b3c06c401fc54e520d2d32af5db0a97d65be55f8cff36f4c7a64b9ac8c689ee520be444fd42209d7b50e8b17e688edf51069cce15c6943e2d93f5eb517e4f08acd89a446f2ce25a293263aaabeb19c73,16675.03
41,0x861e70f8a9a14fefcf3d83ce543ddcb19e2b3b5d66e3fdc23b6958abc0a719964e6c37a365f94b5ee8f8a8a25e7e9d6a346ae5d346e42bfcbded1a378d3cfff8b9ee0e6de456270b84917092279932e15cd4145a26e312c5249fc0f0ded0372a74bf95e69747e4c5fcb6393f261205365022132b73bf13e9461426719b32b591,16519.64
42,0x7e5bd876aaeb5069610f4b71c5a6427917ceeb5a0ff9a5fea1defec6a5408d57f4fa9b11a0923c1d02a6df7cd1ffa1c3d4a50e06a67dadbfc32c92548a307d09336d0f5d11de168534f54e954916cc4fceafb474dceaf8c5bd22d49f6234bc5d0b7b3b7fabbe1a9d865bb960e55dea0ae0bb2282b96eafeb33f3f2398205b8e1,16326.75
43,0xa08bb57177ed5458f11298c97026f52bd64551f2696d22dd0243fb48abd92d937b2a12e406869cf31695b8755d7eb36e460b373177a3fa0ccc20df3685c9349450a3aba11c38d425ad03d234cc47753e25423e2ea71bd4ee4d3356bf24e7276a4ab7259f4d466633ed994e1187e70e528c88696337659e9f3f21497464b0051b,16012.12
44,0xbea6f5ad5d625c49c803c07b274baa7b89284674763975ac51061e78f88e245358e04048dc01eed97e6d0647334c3e15fd30b8d265b8ce226cc09525827362f73ada817d169a5a98eb34ac9b85e0f23a3325213210153e0f028efae360bbcfb01c56bea33a14c97da2d7fcf0a18634851552d93c2ff107930ffc8bbbc99bf80e,15918.09
45,0x31836c4af537a1c95c5b22cfb10ddfb02fdd0d0258e1defe20d6a9627b0178fa2c8797bd6b214a2e98631727d421a02810ad42be4a36d40e562b3056b5493bf482864b10c4d374024b6421268b1d27e016cf4d3a16eca639c130a1d90a6025a2bea16ebc445e0d0fb49f39d68996664a5fa06b889c32e2d1a488d5fdea7c5878,15866.99
46,0x45820e13959a28ebafa1a55df4cac07e7a223d144ff8dc0ff974d98e7bc7e0e7700b5866fe6197f338fe10cad5b813e745aed7e18f092252cf5debea1ecca522b26e55e2edab2383d0e920c135d0f675bc2d7d407d0d1afd724dac54c153ec3e54aad68ffe5618d3d7b53d2ca68ec973498b88607cd8c943b4b15d446abc427,15777.3
47,0x9d7e2cbe17c909944a602ccb5bf2b950d8ff94a7cc14f1cb49ebfd1c7a2deff503f87b5289433e16b094f6362bae6ec63c8a0345c776af5e129e496efa14a823f0379b3b5524bca24c9d7b670e5bb662e7f293704fcc01badf727d0196de1722a24e778de72693c8f23f1af545933c865ec5007dd166d92631e224ccc73d2c65,15888.69
48,0x134ae37897ffda24086f0a5a45125193c2518b0dc6b330bcff8556da00911f15f0ed13e7c67aa40cbf80637c72184213fc564791255cbefa3197a2f270d7b14477833e9b3fe9b0f09e25018567dc071556f39a579b772f506eb5109ea9f677ee6dda9a18f664c6f5dd001e0a924f3b0158fabae2d0179540f5d600b8ee49bda1,15941.97
49,0xb060d2d1e90887ed8c47c76189b9bad2d275c7f286276ee9bee87b7c2fea8c19dad690b582de808b5ac80007626fb6be570ac35a5055a6b964738f4fb37b49b06c73c15f5b25b09caf2de60ac88c97f63b6376c197c5569f608e650fdfd968ad9d7f6f5b337c9d5eb7934cbb7e0d4b568477b3bfc8e9a238dfdc7e448b447068,17161.73
